transition_scope,metric,mean,sample_std,n_valid_folds,error_bar_definition
T0->T1,learned_layer_norm_mse,0.18751556105822836,0.030112698418247045,5,fold metric sample SD (ddof=1)
T0->T1,copy_layer_norm_mse,1.5501050307375004,0.11822502733468791,5,fold metric sample SD (ddof=1)
T0->T1,learned_raw_mse,0.03570884802584945,0.008210230130156856,5,fold metric sample SD (ddof=1)
T0->T1,copy_raw_mse,0.2768873981102512,0.03496458798129066,5,fold metric sample SD (ddof=1)
T0->T1,learned_cosine_similarity,0.8998699309488124,0.024074109429079768,5,fold metric sample SD (ddof=1)
T0->T1,copy_cosine_similarity,0.22392516116102046,0.05831100655827244,5,fold metric sample SD (ddof=1)
T0->T1,learned_cosine_error,0.10013006905118757,0.02407410942907976,5,fold metric sample SD (ddof=1)
T0->T1,copy_cosine_error,0.7760748388389795,0.05831100655827244,5,fold metric sample SD (ddof=1)
T0->T1,normalized_transition_gain,0.8697915760817111,0.0363381877186612,5,fold metric sample SD (ddof=1)
T0->T1,percentage_improvement,86.9791576081711,3.63381877186612,5,fold metric sample SD (ddof=1)
T1->T2,learned_layer_norm_mse,0.22454578153540267,0.02459300116853445,5,fold metric sample SD (ddof=1)
T1->T2,copy_layer_norm_mse,1.5102412731247763,0.1304734857927338,5,fold metric sample SD (ddof=1)
T1->T2,learned_raw_mse,0.041605032028357775,0.0077232979920884215,5,fold metric sample SD (ddof=1)
T1->T2,copy_raw_mse,0.27980565390503076,0.032210448700928665,5,fold metric sample SD (ddof=1)
T1->T2,learned_cosine_similarity,0.8815218590173892,0.02112805045637329,5,fold metric sample SD (ddof=1)
T1->T2,copy_cosine_similarity,0.2437231134077645,0.06435240087320683,5,fold metric sample SD (ddof=1)
T1->T2,learned_cosine_error,0.11847814098261086,0.021128050456373303,5,fold metric sample SD (ddof=1)
T1->T2,copy_cosine_error,0.7562768865922355,0.06435240087320684,5,fold metric sample SD (ddof=1)
T1->T2,normalized_transition_gain,0.8365606755498856,0.040079074446669645,5,fold metric sample SD (ddof=1)
T1->T2,percentage_improvement,83.65606755498857,4.007907444666961,5,fold metric sample SD (ddof=1)
T2->T3,learned_layer_norm_mse,0.2531795436774743,0.019233745933214034,5,fold metric sample SD (ddof=1)
T2->T3,copy_layer_norm_mse,1.516339716394295,0.12282331625395616,5,fold metric sample SD (ddof=1)
T2->T3,learned_raw_mse,0.04591052805221987,0.007730109401451435,5,fold metric sample SD (ddof=1)
T2->T3,copy_raw_mse,0.28362124869193145,0.030305897431518482,5,fold metric sample SD (ddof=1)
T2->T3,learned_cosine_similarity,0.8674499261999149,0.018375985904743486,5,fold metric sample SD (ddof=1)
T2->T3,copy_cosine_similarity,0.24082820340841207,0.06014710956918267,5,fold metric sample SD (ddof=1)
T2->T3,learned_cosine_error,0.13255007380008524,0.018375985904743514,5,fold metric sample SD (ddof=1)
T2->T3,copy_cosine_error,0.7591717965915878,0.060147109569182636,5,fold metric sample SD (ddof=1)
T2->T3,normalized_transition_gain,0.818071138578835,0.03610429147353775,5,fold metric sample SD (ddof=1)
T2->T3,percentage_improvement,81.80711385788348,3.6104291473537735,5,fold metric sample SD (ddof=1)
ALL,learned_layer_norm_mse,0.22174696209036843,0.024527815879564298,5,fold metric sample SD (ddof=1)
ALL,copy_layer_norm_mse,1.5255620067521907,0.12292393689943201,5,fold metric sample SD (ddof=1)
ALL,learned_raw_mse,0.041074802702142366,0.007848543449636045,5,fold metric sample SD (ddof=1)
ALL,copy_raw_mse,0.2801047669024045,0.0324740854453785,5,fold metric sample SD (ddof=1)
ALL,learned_cosine_similarity,0.8829472387220388,0.02115830622697258,5,fold metric sample SD (ddof=1)
ALL,copy_cosine_similarity,0.236158825992399,0.06047501355475092,5,fold metric sample SD (ddof=1)
ALL,learned_cosine_error,0.11705276127796123,0.021158306226972595,5,fold metric sample SD (ddof=1)
ALL,copy_cosine_error,0.763841174007601,0.06047501355475094,5,fold metric sample SD (ddof=1)
ALL,normalized_transition_gain,0.841474463403477,0.03740775483785599,5,fold metric sample SD (ddof=1)
ALL,percentage_improvement,84.14744634034771,3.7407754837855958,5,fold metric sample SD (ddof=1)
