audit_condition,decision_point,fold,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients
matched_followup_swap,T0,0,auroc,0.7364485981308412,0.7364485981308412,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,0,auprc,0.646462538438846,0.646462538438846,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,0,accuracy,0.5925925925925926,0.5925925925925926,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,0,sensitivity,0.7636363636363637,0.7636363636363637,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,0,specificity,0.5046728971962616,0.5046728971962616,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,1,auroc,0.6823327615780446,0.6823327615780446,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,1,auprc,0.5649473293218673,0.5649473293218673,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,1,accuracy,0.6832298136645962,0.6832298136645962,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,1,sensitivity,0.38181818181818183,0.38181818181818183,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,1,specificity,0.839622641509434,0.839622641509434,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,2,auroc,0.7191163976210706,0.7191163976210706,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,2,auprc,0.5334129103583285,0.5334129103583285,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,2,accuracy,0.6728395061728395,0.6728395061728395,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,2,sensitivity,0.4909090909090909,0.4909090909090909,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,2,specificity,0.7663551401869159,0.7663551401869159,0.0,0.0,0.0,True,comparison - native,162
matched_followup_swap,T0,3,auroc,0.7180102915951972,0.7180102915951972,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,3,auprc,0.5869337567209492,0.5869337567209492,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,3,accuracy,0.7267080745341615,0.7267080745341615,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,3,sensitivity,0.509090909090909,0.509090909090909,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,3,specificity,0.839622641509434,0.839622641509434,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,4,auroc,0.7780445969125215,0.7780445969125215,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,4,auprc,0.6512363711225522,0.6512363711225522,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,4,accuracy,0.7329192546583851,0.7329192546583851,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,4,sensitivity,0.6909090909090909,0.6909090909090909,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0,4,specificity,0.7547169811320755,0.7547169811320755,0.0,0.0,0.0,True,comparison - native,161
matched_followup_swap,T0-T1,0,auroc,0.7767204757858963,0.746644010195412,-0.03007646559048427,-0.038722380223145905,-3.8722380223145905,True,comparison - native,162
matched_followup_swap,T0-T1,0,auprc,0.660889083213823,0.6693464486567159,0.008457365442892884,0.012796951345853297,1.2796951345853296,True,comparison - native,162
matched_followup_swap,T0-T1,0,accuracy,0.7530864197530864,0.7160493827160493,-0.03703703703703709,-0.04918032786885253,-4.918032786885253,True,comparison - native,162
matched_followup_swap,T0-T1,0,sensitivity,0.6363636363636364,0.6727272727272727,0.036363636363636376,0.05714285714285716,5.714285714285716,True,comparison - native,162
matched_followup_swap,T0-T1,0,specificity,0.8130841121495327,0.7383177570093458,-0.07476635514018692,-0.09195402298850576,-9.195402298850576,True,comparison - native,162
