audit_condition,decision_point,fold,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity
matched_followup_swap,T0,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
matched_followup_swap,T0,1,161,55,106,0.6823327615780446,0.5649473293218673,0.6832298136645962,0.38181818181818183,0.839622641509434
matched_followup_swap,T0,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
matched_followup_swap,T0,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
matched_followup_swap,T0,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
matched_followup_swap,T0-T1,0,162,55,107,0.746644010195412,0.6693464486567159,0.7160493827160493,0.6727272727272727,0.7383177570093458
matched_followup_swap,T0-T1,1,161,55,106,0.679073756432247,0.5626082388353628,0.6086956521739131,0.6181818181818182,0.6037735849056604
matched_followup_swap,T0-T1,2,162,55,107,0.6812234494477485,0.4860689901126504,0.6419753086419753,0.6363636363636364,0.6448598130841121
matched_followup_swap,T0-T1,3,161,55,106,0.7379073756432248,0.5866967531240738,0.6894409937888198,0.6545454545454545,0.7075471698113207
matched_followup_swap,T0-T1,4,161,55,106,0.8017152658662092,0.7529885351712547,0.6832298136645962,0.7818181818181819,0.6320754716981132
matched_followup_swap,T0-T2,0,162,55,107,0.7272727272727273,0.6398222130965311,0.6049382716049383,0.7454545454545455,0.5327102803738317
matched_followup_swap,T0-T2,1,161,55,106,0.6716981132075471,0.5460341921928075,0.5900621118012422,0.7636363636363637,0.5
matched_followup_swap,T0-T2,2,162,55,107,0.6881903143585386,0.49338832603206834,0.6358024691358025,0.4909090909090909,0.7102803738317757
matched_followup_swap,T0-T2,3,161,55,106,0.7308747855917667,0.5936441837622792,0.7453416149068323,0.5636363636363636,0.839622641509434
matched_followup_swap,T0-T2,4,161,55,106,0.7898799313893653,0.7351443308781008,0.7204968944099379,0.7272727272727273,0.7169811320754716
native,T0,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
native,T0,1,162,55,107,0.6853016142735769,0.5649473293218674,0.6851851851851852,0.38181818181818183,0.8411214953271028
native,T0,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
native,T0,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
native,T0,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
native,T0-T1,0,162,55,107,0.7767204757858963,0.660889083213823,0.7530864197530864,0.6363636363636364,0.8130841121495327
native,T0-T1,1,162,55,107,0.6842820730671199,0.5609339063153655,0.6234567901234568,0.6363636363636364,0.616822429906542
native,T0-T1,2,162,55,107,0.7840271877655055,0.6361400919735195,0.7469135802469136,0.7636363636363637,0.7383177570093458
native,T0-T1,3,161,55,106,0.7425385934819897,0.6418666539732752,0.6894409937888198,0.6727272727272727,0.6981132075471698
native,T0-T1,4,161,55,106,0.7912521440823328,0.6163168395298928,0.7018633540372671,0.8,0.6509433962264151
native,T0-T2,0,162,55,107,0.772642310960068,0.6386696797156936,0.654320987654321,0.7818181818181819,0.5887850467289719
native,T0-T2,1,162,55,107,0.7062022090059475,0.5938404661764681,0.6234567901234568,0.8181818181818182,0.5233644859813084
native,T0-T2,2,162,55,107,0.7700934579439253,0.593997447488535,0.7098765432098766,0.6363636363636364,0.7476635514018691
native,T0-T2,3,161,55,106,0.7337907375643224,0.6174239829756762,0.7204968944099379,0.5818181818181818,0.7924528301886793
native,T0-T2,4,161,55,106,0.8003430531732418,0.6627013396897778,0.7267080745341615,0.7454545454545455,0.7169811320754716
repeated_t0_c1_mri_only,T0,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
repeated_t0_c1_mri_only,T0,1,162,55,107,0.6853016142735769,0.5649473293218674,0.6851851851851852,0.38181818181818183,0.8411214953271028
repeated_t0_c1_mri_only,T0,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
repeated_t0_c1_mri_only,T0,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
repeated_t0_c1_mri_only,T0,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
repeated_t0_c1_mri_only,T0-T1,0,162,55,107,0.7767204757858963,0.660889083213823,0.7530864197530864,0.6363636363636364,0.8130841121495327
repeated_t0_c1_mri_only,T0-T1,1,162,55,107,0.6842820730671199,0.5609339063153655,0.6234567901234568,0.6363636363636364,0.616822429906542
repeated_t0_c1_mri_only,T0-T1,2,162,55,107,0.7840271877655055,0.6361400919735195,0.7469135802469136,0.7636363636363637,0.7383177570093458
repeated_t0_c1_mri_only,T0-T1,3,161,55,106,0.7425385934819897,0.6418666539732752,0.6894409937888198,0.6727272727272727,0.6981132075471698
repeated_t0_c1_mri_only,T0-T1,4,161,55,106,0.7912521440823328,0.6163168395298928,0.7018633540372671,0.8,0.6509433962264151
repeated_t0_c1_mri_only,T0-T2,0,162,55,107,0.772642310960068,0.6386696797156936,0.654320987654321,0.7818181818181819,0.5887850467289719
repeated_t0_c1_mri_only,T0-T2,1,162,55,107,0.7062022090059475,0.5938404661764681,0.6234567901234568,0.8181818181818182,0.5233644859813084
repeated_t0_c1_mri_only,T0-T2,2,162,55,107,0.7700934579439253,0.593997447488535,0.7098765432098766,0.6363636363636364,0.7476635514018691
repeated_t0_c1_mri_only,T0-T2,3,161,55,106,0.7337907375643224,0.6174239829756762,0.7204968944099379,0.5818181818181818,0.7924528301886793
repeated_t0_c1_mri_only,T0-T2,4,161,55,106,0.8003430531732418,0.6627013396897778,0.7267080745341615,0.7454545454545455,0.7169811320754716
repeated_t0_c2_full_image_derived,T0,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
repeated_t0_c2_full_image_derived,T0,1,162,55,107,0.6853016142735769,0.5649473293218674,0.6851851851851852,0.38181818181818183,0.8411214953271028
repeated_t0_c2_full_image_derived,T0,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
repeated_t0_c2_full_image_derived,T0,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
repeated_t0_c2_full_image_derived,T0,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
repeated_t0_c2_full_image_derived,T0-T1,0,162,55,107,0.7473237043330502,0.6587722960944977,0.7530864197530864,0.4909090909090909,0.8878504672897196
repeated_t0_c2_full_image_derived,T0-T1,1,162,55,107,0.6813933729821581,0.5502317204204801,0.6604938271604939,0.4,0.794392523364486
repeated_t0_c2_full_image_derived,T0-T1,2,162,55,107,0.7157179269328803,0.5434446801632421,0.6728395061728395,0.41818181818181815,0.8037383177570093
repeated_t0_c2_full_image_derived,T0-T1,3,161,55,106,0.7018867924528301,0.5649703724436044,0.7204968944099379,0.4909090909090909,0.839622641509434
repeated_t0_c2_full_image_derived,T0-T1,4,161,55,106,0.7802744425385935,0.6552097603151741,0.7329192546583851,0.6363636363636364,0.7830188679245284
repeated_t0_c2_full_image_derived,T0-T2,0,162,55,107,0.7430756159728124,0.6556936062109923,0.6851851851851852,0.5272727272727272,0.7663551401869159
repeated_t0_c2_full_image_derived,T0-T2,1,162,55,107,0.6856414613423959,0.558214716655246,0.691358024691358,0.34545454545454546,0.8691588785046729
repeated_t0_c2_full_image_derived,T0-T2,2,162,55,107,0.7213254035683943,0.5426179506723343,0.6790123456790124,0.18181818181818182,0.9345794392523364
repeated_t0_c2_full_image_derived,T0-T2,3,161,55,106,0.7089193825042881,0.5568175164650964,0.6832298136645962,0.10909090909090909,0.9811320754716981
repeated_t0_c2_full_image_derived,T0-T2,4,161,55,106,0.7795883361921098,0.6535250646960068,0.7329192546583851,0.4,0.9056603773584906
simplified_baseline_f1_clinical_only,T0,0,162,55,107,0.7146983857264231,0.5970693048583345,0.6049382716049383,0.7454545454545455,0.5327102803738317
simplified_baseline_f1_clinical_only,T0,1,162,55,107,0.683517417162277,0.5360800941165118,0.5617283950617284,0.6545454545454545,0.514018691588785
simplified_baseline_f1_clinical_only,T0,2,162,55,107,0.7214953271028036,0.5395530627731986,0.6975308641975309,0.6545454545454545,0.719626168224299
simplified_baseline_f1_clinical_only,T0,3,161,55,106,0.730188679245283,0.629872519185868,0.6645962732919255,0.7090909090909091,0.6415094339622641
simplified_baseline_f1_clinical_only,T0,4,161,55,106,0.7382504288164665,0.5300654785741429,0.6024844720496895,0.8727272727272727,0.46226415094339623
simplified_baseline_f1_clinical_only,T0-T1,0,162,55,107,0.7146983857264231,0.5970693048583345,0.6049382716049383,0.7454545454545455,0.5327102803738317
simplified_baseline_f1_clinical_only,T0-T1,1,162,55,107,0.683517417162277,0.5360800941165118,0.5617283950617284,0.6545454545454545,0.514018691588785
simplified_baseline_f1_clinical_only,T0-T1,2,162,55,107,0.7214953271028036,0.5395530627731986,0.6975308641975309,0.6545454545454545,0.719626168224299
simplified_baseline_f1_clinical_only,T0-T1,3,161,55,106,0.730188679245283,0.629872519185868,0.6645962732919255,0.7090909090909091,0.6415094339622641
simplified_baseline_f1_clinical_only,T0-T1,4,161,55,106,0.7382504288164665,0.5300654785741429,0.6024844720496895,0.8727272727272727,0.46226415094339623
simplified_baseline_f1_clinical_only,T0-T2,0,162,55,107,0.7146983857264231,0.5970693048583345,0.6049382716049383,0.7454545454545455,0.5327102803738317
simplified_baseline_f1_clinical_only,T0-T2,1,162,55,107,0.683517417162277,0.5360800941165118,0.5617283950617284,0.6545454545454545,0.514018691588785
simplified_baseline_f1_clinical_only,T0-T2,2,162,55,107,0.7214953271028036,0.5395530627731986,0.6975308641975309,0.6545454545454545,0.719626168224299
simplified_baseline_f1_clinical_only,T0-T2,3,161,55,106,0.730188679245283,0.629872519185868,0.6645962732919255,0.7090909090909091,0.6415094339622641
simplified_baseline_f1_clinical_only,T0-T2,4,161,55,106,0.7382504288164665,0.5300654785741429,0.6024844720496895,0.8727272727272727,0.46226415094339623
simplified_baseline_f2_geometry_only,T0,0,162,55,107,0.7478334749362787,0.6291920933880516,0.7098765432098766,0.32727272727272727,0.9065420560747663
simplified_baseline_f2_geometry_only,T0,1,162,55,107,0.5747663551401869,0.4359036157500752,0.5617283950617284,0.41818181818181815,0.6355140186915887
simplified_baseline_f2_geometry_only,T0,2,162,55,107,0.5415463041631267,0.41410977489748974,0.5925925925925926,0.43636363636363634,0.6728971962616822
simplified_baseline_f2_geometry_only,T0,3,161,55,106,0.5393653516295027,0.3591041971936162,0.5962732919254659,0.2727272727272727,0.7641509433962265
simplified_baseline_f2_geometry_only,T0,4,161,55,106,0.5451114922813036,0.41783370670092124,0.5527950310559007,0.34545454545454546,0.660377358490566
simplified_baseline_f2_geometry_only,T0-T1,0,162,55,107,0.7148683092608327,0.6218468803297599,0.6419753086419753,0.6181818181818182,0.6542056074766355
simplified_baseline_f2_geometry_only,T0-T1,1,162,55,107,0.5747663551401869,0.4359036157500752,0.5617283950617284,0.41818181818181815,0.6355140186915887
simplified_baseline_f2_geometry_only,T0-T1,2,162,55,107,0.5779099405267629,0.4539141122607512,0.5925925925925926,0.43636363636363634,0.6728971962616822
simplified_baseline_f2_geometry_only,T0-T1,3,161,55,106,0.5394511149228131,0.366202815875616,0.45962732919254656,0.7272727272727273,0.32075471698113206
simplified_baseline_f2_geometry_only,T0-T1,4,161,55,106,0.5806174957118353,0.4239845064647363,0.577639751552795,0.4,0.6698113207547169
simplified_baseline_f2_geometry_only,T0-T2,0,162,55,107,0.7075615972812236,0.5918751652355176,0.5987654320987654,0.8181818181818182,0.48598130841121495
simplified_baseline_f2_geometry_only,T0-T2,1,162,55,107,0.5747663551401869,0.4359036157500752,0.5617283950617284,0.41818181818181815,0.6355140186915887
simplified_baseline_f2_geometry_only,T0-T2,2,162,55,107,0.566355140186916,0.43716393695485134,0.6049382716049383,0.32727272727272727,0.7476635514018691
simplified_baseline_f2_geometry_only,T0-T2,3,161,55,106,0.541680960548885,0.3709832916007716,0.5590062111801242,0.4,0.6415094339622641
simplified_baseline_f2_geometry_only,T0-T2,4,161,55,106,0.5974271012006861,0.4655627172075516,0.6273291925465838,0.2545454545454545,0.8207547169811321
simplified_baseline_f3_clinical_plus_geometry,T0,0,162,55,107,0.7627867459643161,0.6957871241272005,0.6296296296296297,0.8,0.5420560747663551
simplified_baseline_f3_clinical_plus_geometry,T0,1,162,55,107,0.6898895497026338,0.5825377512195031,0.6419753086419753,0.5818181818181818,0.6728971962616822
simplified_baseline_f3_clinical_plus_geometry,T0,2,162,55,107,0.7077315208156331,0.552292676902626,0.7345679012345679,0.5454545454545454,0.8317757009345794
simplified_baseline_f3_clinical_plus_geometry,T0,3,161,55,106,0.7101200686106346,0.5781835565519593,0.7204968944099379,0.5818181818181818,0.7924528301886793
simplified_baseline_f3_clinical_plus_geometry,T0,4,161,55,106,0.7688679245283019,0.6169580020987006,0.6894409937888198,0.8727272727272727,0.5943396226415094
