audit_condition,decision_point,metric,mean,sample_std,n_valid_folds,error_bar_definition
matched_followup_swap,T0,auroc,0.7267905291675352,0.03475894029731027,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0,auprc,0.5965985811925086,0.05137932924950053,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0,accuracy,0.681657848324515,0.056280788624524535,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0,sensitivity,0.5672727272727273,0.15608855295516186,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0,specificity,0.7409980603068241,0.13796230376688884,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T1,auroc,0.7293127715169683,0.05111971678317507,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T1,auprc,0.6115417931800116,0.10259599417189791,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T1,accuracy,0.6678782301970708,0.042410560920121465,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T1,sensitivity,0.6727272727272727,0.06428243465332252,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T1,specificity,0.6653147593017105,0.05573056922138377,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T2,auroc,0.721583174363989,0.045789612625622686,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T2,auprc,0.6016066491923574,0.09240623092469696,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T2,accuracy,0.6593282723717506,0.0697306102396891,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T2,sensitivity,0.6581818181818182,0.12291231840840416,5,fold metric sample SD (ddof=1)
matched_followup_swap,T0-T2,specificity,0.6599188855581025,0.141281543887407,5,fold metric sample SD (ddof=1)
native,T0,auroc,0.7273842997066415,0.03382236636140098,5,fold metric sample SD (ddof=1)
native,T0,auprc,0.5965985811925087,0.05137932924950052,5,fold metric sample SD (ddof=1)
native,T0,accuracy,0.6820489226286327,0.05630123224125553,5,fold metric sample SD (ddof=1)
native,T0,sensitivity,0.5672727272727273,0.15608855295516186,5,fold metric sample SD (ddof=1)
native,T0,specificity,0.741297831070358,0.13823153941212696,5,fold metric sample SD (ddof=1)
native,T0-T1,auroc,0.7557640948365687,0.04410772972507417,5,fold metric sample SD (ddof=1)
native,T0-T1,auprc,0.6232293150011753,0.03827792107826019,5,fold metric sample SD (ddof=1)
native,T0-T1,accuracy,0.7029522275899087,0.052319454827319915,5,fold metric sample SD (ddof=1)
native,T0-T1,sensitivity,0.7018181818181818,0.07562412488394701,5,fold metric sample SD (ddof=1)
native,T0-T1,specificity,0.703456180567801,0.07668956827447232,5,fold metric sample SD (ddof=1)
native,T0-T2,auroc,0.756614353729501,0.036786827156378654,5,fold metric sample SD (ddof=1)
native,T0-T2,auprc,0.6213265832092302,0.02970796209612386,5,fold metric sample SD (ddof=1)
native,T0-T2,accuracy,0.6869718579863507,0.04562828825682925,5,fold metric sample SD (ddof=1)
native,T0-T2,sensitivity,0.7127272727272728,0.0999173211929752,5,fold metric sample SD (ddof=1)
native,T0-T2,specificity,0.67384940927526,0.11320037815325541,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0,auroc,0.7273842997066415,0.03382236636140098,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0,auprc,0.5965985811925087,0.05137932924950052,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0,accuracy,0.6820489226286327,0.05630123224125553,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0,sensitivity,0.5672727272727273,0.15608855295516186,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0,specificity,0.741297831070358,0.13823153941212696,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T1,auroc,0.7557640948365687,0.04410772972507417,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T1,auprc,0.6232293150011753,0.03827792107826019,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T1,accuracy,0.7029522275899087,0.052319454827319915,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T1,sensitivity,0.7018181818181818,0.07562412488394701,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T1,specificity,0.703456180567801,0.07668956827447232,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T2,auroc,0.756614353729501,0.036786827156378654,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T2,auprc,0.6213265832092302,0.02970796209612386,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T2,accuracy,0.6869718579863507,0.04562828825682925,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T2,sensitivity,0.7127272727272728,0.0999173211929752,5,fold metric sample SD (ddof=1)
repeated_t0_c1_mri_only,T0-T2,specificity,0.67384940927526,0.11320037815325541,5,fold metric sample SD (ddof=1)
repeated_t0_c2_full_image_derived,T0,auroc,0.7273842997066415,0.03382236636140098,5,fold metric sample SD (ddof=1)
