audit_condition,decision_point,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients,native_reference_scope
matched_followup_swap,T0,auroc,0.7237662337662337,0.7237662337662337,0.0,0.0,0.0,True,comparison - native,807,same paired patients
matched_followup_swap,T0,auprc,0.5863027435468541,0.5863027435468541,0.0,0.0,0.0,True,comparison - native,807,same paired patients
matched_followup_swap,T0,accuracy,0.6815365551425031,0.6815365551425031,0.0,0.0,0.0,True,comparison - native,807,same paired patients
matched_followup_swap,T0,sensitivity,0.5672727272727273,0.5672727272727273,0.0,0.0,0.0,True,comparison - native,807,same paired patients
matched_followup_swap,T0,specificity,0.7406015037593985,0.7406015037593985,0.0,0.0,0.0,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T1,auroc,0.7509022556390976,0.7276896787423103,-0.02321257689678735,-0.03091291406100649,-3.091291406100649,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T1,auprc,0.6022998571340958,0.5958603950105119,-0.006439462123583928,-0.01069145550560914,-1.069145550560914,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T1,accuracy,0.7026022304832714,0.667905824039653,-0.03469640644361838,-0.04938271604938277,-4.938271604938277,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T1,sensitivity,0.7018181818181818,0.6727272727272727,-0.029090909090909056,-0.04145077720207249,-4.145077720207249,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T1,specificity,0.7030075187969925,0.6654135338345865,-0.03759398496240607,-0.05347593582887708,-5.347593582887708,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T2,auroc,0.7516267942583731,0.7184962406015036,-0.033130553656869455,-0.04407846275565419,-4.407846275565419,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T2,auprc,0.6035745836964842,0.5847707361892509,-0.018803847507233296,-0.031154140706310902,-3.11541407063109,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T2,accuracy,0.6864931846344485,0.6592317224287485,-0.027261462205700027,-0.039711191335739936,-3.9711191335739935,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T2,sensitivity,0.7127272727272728,0.6581818181818182,-0.054545454545454564,-0.07653061224489797,-7.6530612244897975,True,comparison - native,807,same paired patients
matched_followup_swap,T0-T2,specificity,0.6729323308270677,0.6597744360902256,-0.013157894736842146,-0.019553072625698383,-1.9553072625698382,True,comparison - native,807,same paired patients
repeated_t0_c1_mri_only,T0,auroc,0.7242572062084256,0.7242572062084256,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0,auprc,0.5862963613747281,0.5862963613747281,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0,accuracy,0.681930693069307,0.681930693069307,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0,sensitivity,0.5672727272727273,0.5672727272727273,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0,specificity,0.7410881801125704,0.7410881801125704,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T1,auroc,0.751342316220365,0.751342316220365,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T1,auprc,0.6022933145007785,0.6022933145007785,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T1,accuracy,0.7029702970297029,0.7029702970297029,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T1,sensitivity,0.7018181818181818,0.7018181818181818,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T1,specificity,0.7035647279549718,0.7035647279549718,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T2,auroc,0.751963158792427,0.751963158792427,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T2,auprc,0.6035390522311299,0.6035390522311299,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T2,accuracy,0.6868811881188119,0.6868811881188119,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T2,sensitivity,0.7127272727272728,0.7127272727272728,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c1_mri_only,T0-T2,specificity,0.6735459662288931,0.6735459662288931,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0,auroc,0.7242572062084256,0.7242572062084256,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0,auprc,0.5862963613747281,0.5862963613747281,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0,accuracy,0.681930693069307,0.681930693069307,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0,sensitivity,0.5672727272727273,0.5672727272727273,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0,specificity,0.7410881801125704,0.7410881801125704,0.0,0.0,0.0,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T1,auroc,0.751342316220365,0.7230291659559953,-0.028313150264369646,-0.037683422926049516,-3.7683422926049515,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T1,auprc,0.6022933145007785,0.5856685267719589,-0.01662478772881959,-0.027602477611094422,-2.7602477611094423,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T1,accuracy,0.7029702970297029,0.7079207920792079,0.004950495049504955,0.007042253521126768,0.7042253521126768,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T1,sensitivity,0.7018181818181818,0.48727272727272725,-0.21454545454545454,-0.305699481865285,-30.5699481865285,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T1,specificity,0.7035647279549718,0.8217636022514071,0.11819887429643527,0.168,16.8,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,auroc,0.751963158792427,0.7211734606856558,-0.030789698106771235,-0.04094575345448601,-4.094575345448601,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,auprc,0.6035390522311299,0.5865381397193297,-0.017000912511800248,-0.028168703332372962,-2.816870333237296,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,accuracy,0.6868811881188119,0.6943069306930693,0.007425742574257321,0.010810810810810659,1.0810810810810658,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,sensitivity,0.7127272727272728,0.31272727272727274,-0.4,-0.5612244897959183,-56.12244897959183,True,comparison - native,808,same paired patients
repeated_t0_c2_full_image_derived,T0-T2,specificity,0.6735459662288931,0.8911819887429644,0.21763602251407133,0.32311977715877443,32.31197771587745,True,comparison - native,808,same paired patients
