audit_condition,decision_point,metric,reference,comparison,difference,ci_lower,ci_upper,confidence_level,n_patients,n_bootstrap,n_valid_bootstrap,seed,difference_direction
matched_followup_swap,T0,auroc,0.7237662337662337,0.7237662337662337,0.0,0.0,0.0,0.95,807,2000,2000,2026,comparison - reference
matched_followup_swap,T0,auprc,0.5863027435468541,0.5863027435468541,0.0,0.0,0.0,0.95,807,2000,2000,2026,comparison - reference
matched_followup_swap,T0-T1,auroc,0.7509022556390976,0.7276896787423103,-0.02321257689678735,-0.04644721460247791,-0.0001577123924306856,0.95,807,2000,2000,2027,comparison - reference
matched_followup_swap,T0-T1,auprc,0.6022998571340958,0.5958603950105119,-0.006439462123583928,-0.04518996463114976,0.032415456497303555,0.95,807,2000,2000,2027,comparison - reference
matched_followup_swap,T0-T2,auroc,0.7516267942583731,0.7184962406015036,-0.033130553656869455,-0.058500297687908834,-0.006408227779116561,0.95,807,2000,2000,2028,comparison - reference
matched_followup_swap,T0-T2,auprc,0.6035745836964842,0.5847707361892509,-0.018803847507233296,-0.06110449342132717,0.028301088214178195,0.95,807,2000,2000,2028,comparison - reference
repeated_t0_c1_mri_only,T0,auroc,0.7242572062084256,0.7242572062084256,0.0,0.0,0.0,0.95,808,2000,2000,2029,comparison - reference
repeated_t0_c1_mri_only,T0,auprc,0.5862963613747281,0.5862963613747281,0.0,0.0,0.0,0.95,808,2000,2000,2029,comparison - reference
repeated_t0_c1_mri_only,T0-T1,auroc,0.751342316220365,0.751342316220365,0.0,0.0,0.0,0.95,808,2000,2000,2030,comparison - reference
repeated_t0_c1_mri_only,T0-T1,auprc,0.6022933145007785,0.6022933145007785,0.0,0.0,0.0,0.95,808,2000,2000,2030,comparison - reference
repeated_t0_c1_mri_only,T0-T2,auroc,0.751963158792427,0.751963158792427,0.0,0.0,0.0,0.95,808,2000,2000,2031,comparison - reference
repeated_t0_c1_mri_only,T0-T2,auprc,0.6035390522311299,0.6035390522311299,0.0,0.0,0.0,0.95,808,2000,2000,2031,comparison - reference
repeated_t0_c2_full_image_derived,T0,auroc,0.7242572062084256,0.7242572062084256,0.0,0.0,0.0,0.95,808,2000,2000,2032,comparison - reference
repeated_t0_c2_full_image_derived,T0,auprc,0.5862963613747281,0.5862963613747281,0.0,0.0,0.0,0.95,808,2000,2000,2032,comparison - reference
repeated_t0_c2_full_image_derived,T0-T1,auroc,0.751342316220365,0.7230291659559953,-0.028313150264369646,-0.04923490322552361,-0.007515733081000766,0.95,808,2000,2000,2033,comparison - reference
repeated_t0_c2_full_image_derived,T0-T1,auprc,0.6022933145007785,0.5856685267719589,-0.01662478772881959,-0.050472590890673186,0.019536503384206254,0.95,808,2000,2000,2033,comparison - reference
repeated_t0_c2_full_image_derived,T0-T2,auroc,0.751963158792427,0.7211734606856558,-0.030789698106771235,-0.057288036194619064,-0.0053833442343679955,0.95,808,2000,2000,2034,comparison - reference
repeated_t0_c2_full_image_derived,T0-T2,auprc,0.6035390522311299,0.5865381397193297,-0.017000912511800248,-0.05978487554998419,0.022311227651892734,0.95,808,2000,2000,2034,comparison - reference
simplified_baseline_f1_clinical_only,T0,auroc,0.7242572062084256,0.7125055432372505,-0.011751662971175136,-0.032021213720387985,0.007882974751554942,0.95,808,2000,2000,2035,comparison - reference
simplified_baseline_f1_clinical_only,T0,auprc,0.5862963613747281,0.563767940166638,-0.022528421208090066,-0.0562691056193374,0.011165428892605972,0.95,808,2000,2000,2035,comparison - reference
simplified_baseline_f1_clinical_only,T0-T1,auroc,0.751342316220365,0.7125055432372505,-0.0388367729831145,-0.06559031064943904,-0.012460329868230384,0.95,808,2000,2000,2036,comparison - reference
simplified_baseline_f1_clinical_only,T0-T1,auprc,0.6022933145007785,0.563767940166638,-0.038525374334140494,-0.08272184844724487,0.007047707106239956,0.95,808,2000,2000,2036,comparison - reference
simplified_baseline_f1_clinical_only,T0-T2,auroc,0.751963158792427,0.7125055432372505,-0.03945761555517657,-0.0691169676533922,-0.009917921016230413,0.95,808,2000,2000,2037,comparison - reference
simplified_baseline_f1_clinical_only,T0-T2,auprc,0.6035390522311299,0.563767940166638,-0.03977111206449191,-0.08777303945947225,0.01016427135847877,0.95,808,2000,2000,2037,comparison - reference
simplified_baseline_f2_geometry_only,T0,auroc,0.7242572062084256,0.5917789527545626,-0.132478253453863,-0.1772514615872143,-0.08678540161301668,0.95,808,2000,2000,2038,comparison - reference
simplified_baseline_f2_geometry_only,T0,auprc,0.5862963613747281,0.42108653006214847,-0.1652098313125796,-0.22220562211386488,-0.10633173798487308,0.95,808,2000,2000,2038,comparison - reference
simplified_baseline_f2_geometry_only,T0-T1,auroc,0.751342316220365,0.5958621865938939,-0.15548012962647106,-0.19796200377052778,-0.11201776742310786,0.95,808,2000,2000,2039,comparison - reference
simplified_baseline_f2_geometry_only,T0-T1,auprc,0.6022933145007785,0.4475894797177417,-0.1547038347830368,-0.21257847365478935,-0.09351231288180385,0.95,808,2000,2000,2039,comparison - reference
simplified_baseline_f2_geometry_only,T0-T2,auroc,0.751963158792427,0.6021934163397578,-0.14976974245266927,-0.19547483752718608,-0.10251859472620332,0.95,808,2000,2000,2040,comparison - reference
simplified_baseline_f2_geometry_only,T0-T2,auprc,0.6035390522311299,0.44608766151478796,-0.15745139071634195,-0.21650390023678312,-0.0932397426537026,0.95,808,2000,2000,2040,comparison - reference
simplified_baseline_f3_clinical_plus_geometry,T0,auroc,0.7242572062084256,0.7195463073511854,-0.004710898857240187,-0.022914141802880875,0.012021196804096296,0.95,808,2000,2000,2041,comparison - reference
simplified_baseline_f3_clinical_plus_geometry,T0,auprc,0.5862963613747281,0.5784581668536061,-0.007838194521122,-0.037329541480723455,0.02658872696659259,0.95,808,2000,2000,2041,comparison - reference
simplified_baseline_f3_clinical_plus_geometry,T0-T1,auroc,0.751342316220365,0.7231349138666212,-0.02820740235374375,-0.052950565223322345,-0.002021727405176829,0.95,808,2000,2000,2042,comparison - reference
simplified_baseline_f3_clinical_plus_geometry,T0-T1,auprc,0.6022933145007785,0.5822191099998659,-0.020074204500912574,-0.06041907136368781,0.02513766907500002,0.95,808,2000,2000,2042,comparison - reference
simplified_baseline_f3_clinical_plus_geometry,T0-T2,auroc,0.751963158792427,0.7273443629541191,-0.02461879583830795,-0.052783401437696276,0.0033602085342299922,0.95,808,2000,2000,2043,comparison - reference
simplified_baseline_f3_clinical_plus_geometry,T0-T2,auprc,0.6035390522311299,0.5831255085947953,-0.02041354363633463,-0.06435332376479184,0.024787660600566735,0.95,808,2000,2000,2043,comparison - reference
simplified_baseline_f4_timepoint_only,T0,auroc,0.7242572062084256,0.5003752345215761,-0.22388197168684953,-0.2666313259047433,-0.1780610387509102,0.95,808,2000,2000,2044,comparison - reference
simplified_baseline_f4_timepoint_only,T0,auprc,0.5862963613747281,0.3405151273641296,-0.24578123401059848,-0.2991018299661376,-0.196271814069727,0.95,808,2000,2000,2044,comparison - reference
simplified_baseline_f4_timepoint_only,T0-T1,auroc,0.751342316220365,0.5003752345215761,-0.2509670816987889,-0.295096811222273,-0.2068195999622015,0.95,808,2000,2000,2045,comparison - reference
simplified_baseline_f4_timepoint_only,T0-T1,auprc,0.6022933145007785,0.3405151273641296,-0.2617781871366489,-0.3173325816535732,-0.20972268230024527,0.95,808,2000,2000,2045,comparison - reference
simplified_baseline_f4_timepoint_only,T0-T2,auroc,0.751963158792427,0.5003752345215761,-0.25158792427085097,-0.29750155256895217,-0.20490018883375422,0.95,808,2000,2000,2046,comparison - reference
simplified_baseline_f4_timepoint_only,T0-T2,auprc,0.6035390522311299,0.3405151273641296,-0.2630239248670003,-0.3215501490474448,-0.20915838124398556,0.95,808,2000,2000,2046,comparison - reference
simplified_baseline_f5_static_t0_imaging,T0,auroc,0.7242572062084256,0.5126999829438854,-0.21155722326454018,-0.265370097343254,-0.15859828415996508,0.95,808,2000,2000,2047,comparison - reference
simplified_baseline_f5_static_t0_imaging,T0,auprc,0.5862963613747281,0.3495832918429199,-0.23671306953180815,-0.2958526320540484,-0.1725602125245056,0.95,808,2000,2000,2047,comparison - reference
simplified_baseline_f5_static_t0_imaging,T0-T1,auroc,0.751342316220365,0.5126999829438854,-0.23864233327647955,-0.2904712547346795,-0.18359654811891832,0.95,808,2000,2000,2048,comparison - reference
simplified_baseline_f5_static_t0_imaging,T0-T1,auprc,0.6022933145007785,0.3495832918429199,-0.2527100226578586,-0.3068631100505401,-0.18809580289489,0.95,808,2000,2000,2048,comparison - reference
simplified_baseline_f5_static_t0_imaging,T0-T2,auroc,0.751963158792427,0.5126931604980386,-0.23926999829438844,-0.29041788796915186,-0.18703627639159995,0.95,808,2000,2000,2049,comparison - reference
simplified_baseline_f5_static_t0_imaging,T0-T2,auprc,0.6035390522311299,0.34957792206751526,-0.25396113016361466,-0.31297613239070216,-0.19033638378487971,0.95,808,2000,2000,2049,comparison - reference
temporal_t1_t2_swap,T0,auroc,0.7242572062084256,0.7242572062084256,0.0,0.0,0.0,0.95,808,2000,2000,2050,comparison - reference
temporal_t1_t2_swap,T0,auprc,0.5862963613747281,0.5862963613747281,0.0,0.0,0.0,0.95,808,2000,2000,2050,comparison - reference
temporal_t1_t2_swap,T0-T1,auroc,0.751342316220365,0.7459048268804367,-0.00543748933992827,-0.030917156609521122,0.020957692107530904,0.95,808,2000,2000,2051,comparison - reference
temporal_t1_t2_swap,T0-T1,auprc,0.6022933145007785,0.5920464630590745,-0.010246851441704008,-0.0536205981685456,0.03968958149597861,0.95,808,2000,2000,2051,comparison - reference
temporal_t1_t2_swap,T0-T2,auroc,0.751963158792427,0.752174654613679,0.00021149582125201682,-0.02376827535567553,0.026067763401231004,0.95,808,2000,2000,2052,comparison - reference
temporal_t1_t2_swap,T0-T2,auprc,0.6035390522311299,0.6135083242710825,0.00996927203995257,-0.03222994948051809,0.0513129554939978,0.95,808,2000,2000,2052,comparison - reference
