audit_condition,transition,fold,n_patients,n_records,native_layer_norm_mse,comparison_layer_norm_mse,latent_error_change,native_cosine_similarity,comparison_cosine_similarity,response_state_mean_abs_change,response_state_l2_change,response_state_cosine_similarity
matched_followup_swap,T0->T1,0,162,1466,0.20505443093606043,0.20505443093606043,0.0,0.8940391172655827,0.8940391172655827,0.0,0.0,
matched_followup_swap,T0->T1,1,161,1476,0.1659640724090566,0.1659640724090566,0.0,0.917280403495824,0.917280403495824,0.0,0.0,
matched_followup_swap,T0->T1,2,162,1458,0.16730163401996676,0.16730163401996676,0.0,0.914688471336824,0.914688471336824,0.0,0.0,
matched_followup_swap,T0->T1,3,161,1450,0.23243061698873801,0.23243061698873801,0.0,0.8601056797249031,0.8601056797249031,0.0,0.0,
matched_followup_swap,T0->T1,4,161,1440,0.1672346505763018,0.1672346505763018,0.0,0.9130364857160956,0.9130364857160956,0.0,0.0,
matched_followup_swap,T1->T2,0,162,1466,0.2375479879681468,0.24698667581374242,0.009438687845595602,0.8774274106604536,0.8727500322824401,0.16364262941742888,1.637147153044415,
matched_followup_swap,T1->T2,1,161,1476,0.2123725742347651,0.2186698180375872,0.00629724380282211,0.894355661693833,0.8912374171677057,0.18381998366563768,1.8493749582883023,
matched_followup_swap,T1->T2,2,162,1458,0.20365062880943283,0.20933494151376722,0.005684312704334345,0.896826305568548,0.8940079988247811,0.15371723193533215,1.5200799918149912,
matched_followup_swap,T1->T2,3,161,1450,0.2616727073177041,0.27384954987707627,0.012176842559372167,0.8462622224657302,0.8401427428322195,0.19428760404384057,1.9333629546401654,
matched_followup_swap,T1->T2,4,161,1440,0.20794495403467095,0.21228769894765745,0.004342744912986482,0.8925091053641645,0.890429853362894,0.16844138179932713,1.6670834904710146,
matched_followup_swap,T2->T3,0,162,1466,0.2600885178815941,0.26746183322922806,0.007373315347633963,0.8659094963308128,0.8622900015858586,0.21345771605529099,2.133537666218401,
matched_followup_swap,T2->T3,1,161,1476,0.24077662104156017,0.24620723792748286,0.005430616885922718,0.8800801907006129,0.877378859001462,0.23819608786604557,2.3801593186464802,
matched_followup_swap,T2->T3,2,162,1458,0.23609064745431865,0.24015338604427794,0.004062738589959273,0.8804209582951039,0.8784402678308633,0.21094978740294237,2.0993447199609934,
matched_followup_swap,T2->T3,3,161,1450,0.2836449544478894,0.29490332550934906,0.011258371061459624,0.8362649954680068,0.8306997471122235,0.23752257158115944,2.353937849486025,
matched_followup_swap,T2->T3,4,161,1440,0.24478122698320126,0.24934317759126085,0.004561950608059549,0.8748301192744554,0.8726253847671899,0.22268994499052797,2.196584758376294,
repeated_t0_c1_mri_only,T0->T1,0,162,162,0.20505448978410457,0.20505448978410457,0.0,0.8940390903700551,0.8940390903700551,0.0,0.0,1.0
repeated_t0_c1_mri_only,T0->T1,1,162,162,0.1655563956960561,0.1655563956960561,0.0,0.9174799168582142,0.9174799168582142,0.0,0.0,1.0
repeated_t0_c1_mri_only,T0->T1,2,162,162,0.16730164313186252,0.16730164313186252,0.0,0.9146884689861003,0.9146884689861003,0.0,0.0,1.0
repeated_t0_c1_mri_only,T0->T1,3,161,161,0.2324306152431663,0.2324306152431663,0.0,0.860105704100484,0.860105704100484,0.0,0.0,1.0
repeated_t0_c1_mri_only,T0->T1,4,161,161,0.16723466143595234,0.16723466143595234,0.0,0.9130364744292081,0.9130364744292081,0.0,0.0,1.0
repeated_t0_c1_mri_only,T1->T2,0,162,162,0.2375480802419709,0.2390481761378282,0.0015000958958572839,0.8774273679720929,0.8766569378833327,0.0,0.0,1.0
repeated_t0_c1_mri_only,T1->T2,1,162,162,0.2119125206820474,0.20936393144368914,-0.0025485892383582454,0.8945842850542759,0.8958781815602231,0.0,0.0,1.0
repeated_t0_c1_mri_only,T1->T2,2,162,162,0.20365062223631225,0.20481060836478343,0.0011599861284711896,0.896826310509277,0.8962235941287517,0.0,0.0,1.0
repeated_t0_c1_mri_only,T1->T2,3,161,161,0.26167271448032925,0.2671688101308076,0.0054960956504783364,0.8462622401515144,0.8437737137331357,0.0,0.0,1.0
repeated_t0_c1_mri_only,T1->T2,4,161,161,0.20794497003635348,0.2098220545724953,0.0018770845361417972,0.8925090913997854,0.8915029044672793,0.0,0.0,1.0
repeated_t0_c1_mri_only,T2->T3,0,162,162,0.26008863710979996,0.26167832498080457,0.0015896878710045855,0.8659094407186787,0.8651770652243346,0.0,0.0,1.0
repeated_t0_c1_mri_only,T2->T3,1,162,162,0.24129221183037558,0.23927263576589752,-0.0020195760644780487,0.8798241188161422,0.8808347955796818,0.0,0.0,1.0
repeated_t0_c1_mri_only,T2->T3,2,162,162,0.23609065858587808,0.23564340156309171,-0.00044725702278639035,0.8804209548335025,0.8805289968882363,0.0,0.0,1.0
repeated_t0_c1_mri_only,T2->T3,3,161,161,0.2836449701944638,0.2904972740892403,0.006852303894776493,0.8362650093769521,0.8332474845254879,0.0,0.0,1.0
repeated_t0_c1_mri_only,T2->T3,4,161,161,0.24478124066685417,0.2468246810906641,0.002043440423809944,0.8748301072542981,0.8737402036471329,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T0->T1,0,162,162,0.20505448978410457,0.20505448978410457,0.0,0.8940390903700551,0.8940390903700551,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T0->T1,1,162,162,0.1655563956960561,0.1655563956960561,0.0,0.9174799168582142,0.9174799168582142,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T0->T1,2,162,162,0.16730164313186252,0.16730164313186252,0.0,0.9146884689861003,0.9146884689861003,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T0->T1,3,161,161,0.2324306152431663,0.2324306152431663,0.0,0.860105704100484,0.860105704100484,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T0->T1,4,161,161,0.16723466143595234,0.16723466143595234,0.0,0.9130364744292081,0.9130364744292081,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T1->T2,0,162,162,0.2375480802419709,0.2375791503477328,3.1070105761884546e-05,0.8774273679720929,0.8772873345442637,0.10158927026666666,1.0090574736481481,0.9567924964310194
repeated_t0_c2_full_image_derived,T1->T2,1,162,162,0.2119125206820474,0.20751132912515902,-0.004401191556888359,0.8945842850542759,0.8967924527730617,0.11340289005987654,1.1465562739506172,0.9560578451210091
repeated_t0_c2_full_image_derived,T1->T2,2,162,162,0.20365062223631225,0.20428612364601517,0.0006355014097029234,0.896826310509277,0.8964835870188821,0.09650615689111111,0.9499212342209877,0.966492177891795
repeated_t0_c2_full_image_derived,T1->T2,3,161,161,0.26167271448032925,0.26616275929766375,0.0044900448173344695,0.8462622401515144,0.8442482698092809,0.1217182628173292,1.2046792405714286,0.95023203273011
