audit_condition,transition,n_patients,n_records,aggregation,native_layer_norm_mse,comparison_layer_norm_mse,latent_error_change,native_cosine_similarity,comparison_cosine_similarity,response_state_mean_abs_change,response_state_l2_change,response_state_cosine_similarity
matched_followup_swap,T0->T1,807,7290,pooled_equal_patient,0.18759356413718206,0.18759356413718206,0.0,0.8998412675990314,0.8998412675990314,0.0,0.0,
matched_followup_swap,T1->T2,807,7290,pooled_equal_patient,0.22462776189280975,0.23221566266653065,0.007587900773720884,0.881490145405723,0.8777276495548744,0.17274681738545844,1.721055815879232,
matched_followup_swap,T2->T3,807,7290,pooled_equal_patient,0.25306403467473937,0.2595994025128016,0.006535367838062266,0.8675151893751345,0.8643019159570382,0.22453259092281141,2.232424704744707,
repeated_t0_c1_mri_only,T0->T1,808,808,pooled_equal_patient,0.18748507324317557,0.18748507324317557,0.0,0.8999028488737726,0.8999028488737726,0.0,0.0,1.0
repeated_t0_c1_mri_only,T1->T2,808,808,pooled_equal_patient,0.22452037791975182,0.22601189257491647,0.0014915146551646268,0.8815518990996707,0.8808396622883424,0.0,0.0,1.0
repeated_t0_c1_mri_only,T2->T3,808,808,pooled_equal_patient,0.2531522328810556,0.25474891272048417,0.0015966798394286138,0.867479387506559,0.8667384118093278,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T0->T1,808,808,pooled_equal_patient,0.18748507324317557,0.18748507324317557,0.0,0.8999028488737726,0.8999028488737726,0.0,0.0,1.0
repeated_t0_c2_full_image_derived,T1->T2,808,808,pooled_equal_patient,0.22452037791975182,0.22492604363571464,0.00040566571596281246,0.8815518990996707,0.8813661438695803,0.10755495741318069,1.0683686248438118,0.9583276165915274
repeated_t0_c2_full_image_derived,T2->T3,808,808,pooled_equal_patient,0.2531522328810556,0.25342739822395444,0.00027516534289888454,0.867479387506559,0.8673902393129926,0.16142130389022277,1.6032348151732674,0.9144901070350067
temporal_t1_t2_swap,T0->T1,808,808,pooled_equal_patient,0.18748507324317557,0.18748507324317557,0.0,0.8999028488737726,0.8999028488737726,0.0,0.0,1.0
temporal_t1_t2_swap,T1->T2,808,808,pooled_equal_patient,0.22452037791975182,0.22234344763236197,-0.002176930287389839,0.8815518990996707,0.8825886904291647,0.1450206193781114,1.4427433055845298,0.9266313603452826
temporal_t1_t2_swap,T2->T3,808,808,pooled_equal_patient,0.2531522328810556,0.25283566701281207,-0.0003165658682435055,0.867479387506559,0.867626469529689,0.14569054159510642,1.451976015267698,0.9249258163253852
