audit_condition,decision_point,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity,n_folds,aggregation
matched_followup_swap,T0,807,275,532,0.7237662337662337,0.5863027435468541,0.6815365551425031,0.5672727272727273,0.7406015037593985,5,pooled_oof_equal_patient
matched_followup_swap,T0-T1,807,275,532,0.7276896787423103,0.5958603950105119,0.667905824039653,0.6727272727272727,0.6654135338345865,5,pooled_oof_equal_patient
matched_followup_swap,T0-T2,807,275,532,0.7184962406015036,0.5847707361892509,0.6592317224287485,0.6581818181818182,0.6597744360902256,5,pooled_oof_equal_patient
native,T0,808,275,533,0.7242572062084256,0.5862963613747281,0.681930693069307,0.5672727272727273,0.7410881801125704,5,pooled_oof_equal_patient
native,T0-T1,808,275,533,0.751342316220365,0.6022933145007785,0.7029702970297029,0.7018181818181818,0.7035647279549718,5,pooled_oof_equal_patient
native,T0-T2,808,275,533,0.751963158792427,0.6035390522311299,0.6868811881188119,0.7127272727272728,0.6735459662288931,5,pooled_oof_equal_patient
repeated_t0_c1_mri_only,T0,808,275,533,0.7242572062084256,0.5862963613747281,0.681930693069307,0.5672727272727273,0.7410881801125704,5,pooled_oof_equal_patient
repeated_t0_c1_mri_only,T0-T1,808,275,533,0.751342316220365,0.6022933145007785,0.7029702970297029,0.7018181818181818,0.7035647279549718,5,pooled_oof_equal_patient
repeated_t0_c1_mri_only,T0-T2,808,275,533,0.751963158792427,0.6035390522311299,0.6868811881188119,0.7127272727272728,0.6735459662288931,5,pooled_oof_equal_patient
repeated_t0_c2_full_image_derived,T0,808,275,533,0.7242572062084256,0.5862963613747281,0.681930693069307,0.5672727272727273,0.7410881801125704,5,pooled_oof_equal_patient
repeated_t0_c2_full_image_derived,T0-T1,808,275,533,0.7230291659559953,0.5856685267719589,0.7079207920792079,0.48727272727272725,0.8217636022514071,5,pooled_oof_equal_patient
repeated_t0_c2_full_image_derived,T0-T2,808,275,533,0.7211734606856558,0.5865381397193297,0.6943069306930693,0.31272727272727274,0.8911819887429644,5,pooled_oof_equal_patient
simplified_baseline_f1_clinical_only,T0,808,275,533,0.7125055432372505,0.563767940166638,0.6262376237623762,0.7272727272727273,0.574108818011257,5,pooled_oof_equal_patient
simplified_baseline_f1_clinical_only,T0-T1,808,275,533,0.7125055432372505,0.563767940166638,0.6262376237623762,0.7272727272727273,0.574108818011257,5,pooled_oof_equal_patient
simplified_baseline_f1_clinical_only,T0-T2,808,275,533,0.7125055432372505,0.563767940166638,0.6262376237623762,0.7272727272727273,0.574108818011257,5,pooled_oof_equal_patient
simplified_baseline_f2_geometry_only,T0,808,275,533,0.5917789527545626,0.42108653006214847,0.6027227722772277,0.36,0.7279549718574109,5,pooled_oof_equal_patient
simplified_baseline_f2_geometry_only,T0-T1,808,275,533,0.5958621865938939,0.4475894797177417,0.5668316831683168,0.52,0.5909943714821764,5,pooled_oof_equal_patient
simplified_baseline_f2_geometry_only,T0-T2,808,275,533,0.6021934163397578,0.44608766151478796,0.5903465346534653,0.44363636363636366,0.6660412757973734,5,pooled_oof_equal_patient
simplified_baseline_f3_clinical_plus_geometry,T0,808,275,533,0.7195463073511854,0.5784581668536061,0.6831683168316832,0.6763636363636364,0.6866791744840526,5,pooled_oof_equal_patient
simplified_baseline_f3_clinical_plus_geometry,T0-T1,808,275,533,0.7231349138666212,0.5822191099998659,0.6584158415841584,0.6909090909090909,0.6416510318949343,5,pooled_oof_equal_patient
simplified_baseline_f3_clinical_plus_geometry,T0-T2,808,275,533,0.7273443629541191,0.5831255085947953,0.6868811881188119,0.6509090909090909,0.7054409005628518,5,pooled_oof_equal_patient
simplified_baseline_f4_timepoint_only,T0,808,275,533,0.5003752345215761,0.3405151273641296,0.34034653465346537,1.0,0.0,5,pooled_oof_equal_patient
simplified_baseline_f4_timepoint_only,T0-T1,808,275,533,0.5003752345215761,0.3405151273641296,0.34034653465346537,1.0,0.0,5,pooled_oof_equal_patient
simplified_baseline_f4_timepoint_only,T0-T2,808,275,533,0.5003752345215761,0.3405151273641296,0.34034653465346537,1.0,0.0,5,pooled_oof_equal_patient
simplified_baseline_f5_static_t0_imaging,T0,808,275,533,0.5126999829438854,0.3495832918429199,0.4665841584158416,0.5709090909090909,0.41275797373358347,5,pooled_oof_equal_patient
simplified_baseline_f5_static_t0_imaging,T0-T1,808,275,533,0.5126999829438854,0.3495832918429199,0.4665841584158416,0.5709090909090909,0.41275797373358347,5,pooled_oof_equal_patient
simplified_baseline_f5_static_t0_imaging,T0-T2,808,275,533,0.5126931604980386,0.34957792206751526,0.4665841584158416,0.5709090909090909,0.41275797373358347,5,pooled_oof_equal_patient
temporal_t1_t2_swap,T0,808,275,533,0.7242572062084256,0.5862963613747281,0.681930693069307,0.5672727272727273,0.7410881801125704,5,pooled_oof_equal_patient
temporal_t1_t2_swap,T0-T1,808,275,533,0.7459048268804367,0.5920464630590745,0.6064356435643564,0.8327272727272728,0.4896810506566604,5,pooled_oof_equal_patient
temporal_t1_t2_swap,T0-T2,808,275,533,0.752174654613679,0.6135083242710825,0.6881188118811881,0.6981818181818182,0.6829268292682927,5,pooled_oof_equal_patient
