audit_condition,decision_point,n_patients,mean_probability_change,mean_absolute_probability_change,median_absolute_probability_change,q25_absolute_probability_change,q75_absolute_probability_change,proportion_absolute_change_gt_0_05,proportion_absolute_change_gt_0_10,maximum_absolute_probability_change,aggregation
matched_followup_swap,T0,807,-1.2056814695060283e-08,2.0349701963330274e-07,1.6460401826845496e-07,6.853403368700662e-08,2.874559281810611e-07,0.0,0.0,1.0562217680476491e-06,one row per patient; donor repetitions averaged within patient
matched_followup_swap,T0-T1,807,0.004873013357985201,0.10208764235854673,0.0791879394103367,0.03587457386627,0.14180112526143024,0.6617100371747212,0.40892193308550184,0.557085527671041,one row per patient; donor repetitions averaged within patient
matched_followup_swap,T0-T2,807,0.004854966026483931,0.1200712940406035,0.0881914521866648,0.04036285431729255,0.17505857794247404,0.6914498141263941,0.45353159851301117,0.6859593961199041,one row per patient; donor repetitions averaged within patient
repeated_t0_c1_mri_only,T0,808,2.9122169867444325e-10,1.4648419860553858e-09,0.0,0.0,0.0,0.0,0.0,5.442286531431861e-07,one row per patient; donor repetitions averaged within patient
repeated_t0_c1_mri_only,T0-T1,808,1.2736883494752594e-09,2.134708788553048e-09,0.0,0.0,0.0,0.0,0.0,6.275344250072923e-07,one row per patient; donor repetitions averaged within patient
repeated_t0_c1_mri_only,T0-T2,808,5.390015179921733e-10,1.306459165204906e-09,0.0,0.0,0.0,0.0,0.0,3.86368979921059e-07,one row per patient; donor repetitions averaged within patient
repeated_t0_c2_full_image_derived,T0,808,2.9122169867444325e-10,1.4648419860553858e-09,0.0,0.0,0.0,0.0,0.0,5.442286531431861e-07,one row per patient; donor repetitions averaged within patient
repeated_t0_c2_full_image_derived,T0-T1,808,-0.08423775766555201,0.10060479001960133,0.06213550363694905,0.0222426178490898,0.14980798948718538,0.5668316831683168,0.3613861386138614,0.5812108063310937,one row per patient; donor repetitions averaged within patient
repeated_t0_c2_full_image_derived,T0-T2,808,-0.16121475354239306,0.1740699370964236,0.13733505565860082,0.0589958401646511,0.25942803430814376,0.7821782178217822,0.6126237623762376,0.7751301456696783,one row per patient; donor repetitions averaged within patient
temporal_t1_t2_swap,T0,808,2.9122169867444325e-10,1.4648419860553858e-09,0.0,0.0,0.0,0.0,0.0,5.442286531431861e-07,one row per patient; donor repetitions averaged within patient
temporal_t1_t2_swap,T0-T1,808,0.11737792398126023,0.15159489175511853,0.12187117234416839,0.0514444978310167,0.22703088027596513,0.754950495049505,0.5606435643564357,0.6975670336283304,one row per patient; donor repetitions averaged within patient
temporal_t1_t2_swap,T0-T2,808,0.002146224849352845,0.09137986879081048,0.0528697734805008,0.020718337514610323,0.1186566412826794,0.5111386138613861,0.29455445544554454,0.9238794934804836,one row per patient; donor repetitions averaged within patient
