audit_condition,decision_point,repetition_id,aggregation_scope,fold,n,n_positive,n_negative,auroc,auprc,accuracy,sensitivity,specificity
matched_followup_swap,T0,1,fold,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
matched_followup_swap,T0,1,fold,1,161,55,106,0.6823327615780446,0.5649473293218673,0.6832298136645962,0.38181818181818183,0.839622641509434
matched_followup_swap,T0,1,fold,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
matched_followup_swap,T0,1,fold,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
matched_followup_swap,T0,1,fold,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
matched_followup_swap,T0,2,fold,0,162,55,107,0.7364485981308412,0.646462538438846,0.5925925925925926,0.7636363636363637,0.5046728971962616
matched_followup_swap,T0,2,fold,1,161,55,106,0.6823327615780446,0.5649473293218673,0.6832298136645962,0.38181818181818183,0.839622641509434
matched_followup_swap,T0,2,fold,2,162,55,107,0.7191163976210706,0.5334129103583285,0.6728395061728395,0.4909090909090909,0.7663551401869159
matched_followup_swap,T0,2,fold,3,161,55,106,0.7180102915951972,0.5869337567209492,0.7267080745341615,0.509090909090909,0.839622641509434
matched_followup_swap,T0,2,fold,4,161,55,106,0.7780445969125215,0.6512363711225522,0.7329192546583851,0.6909090909090909,0.7547169811320755
matched_followup_swap,T0,3,fold,0,159,55,104,0.7309440559440559,0.6470111740011939,0.5849056603773585,0.7636363636363637,0.49038461538461536
matched_followup_swap,T0,3,fold,1,161,55,106,0.6823327615780446,0.5649473293218673,0.6832298136645962,0.38181818181818183,0.839622641509434
matched_followup_swap,T0,3,fold,2,159,53,106,0.7125311498754006,0.5199860114667302,0.6666666666666666,0.4716981132075472,0.7641509433962265
matched_followup_swap,T0,3,fold,3,158,54,104,0.7168803418803419,0.5871510618250606,0.7278481012658228,0.5185185185185185,0.8365384615384616
matched_followup_swap,T0,3,fold,4,155,52,103,0.7727781926811053,0.6395091823725759,0.7290322580645161,0.6730769230769231,0.7572815533980582
matched_followup_swap,T0,4,fold,0,155,52,103,0.7234876773711725,0.63302450808495,0.5806451612903226,0.75,0.49514563106796117
matched_followup_swap,T0,4,fold,1,153,51,102,0.6753171856978085,0.561064288307875,0.6797385620915033,0.3333333333333333,0.8529411764705882
matched_followup_swap,T0,4,fold,2,151,49,102,0.7074829931972788,0.5141175737451412,0.6688741721854304,0.4897959183673469,0.7549019607843137
matched_followup_swap,T0,4,fold,3,154,53,101,0.7166075098075845,0.5898672426738529,0.7272727272727273,0.5283018867924528,0.8316831683168316
matched_followup_swap,T0,4,fold,4,151,52,99,0.7725330225330226,0.6444029401585811,0.7284768211920529,0.6730769230769231,0.7575757575757576
matched_followup_swap,T0,5,fold,0,150,52,98,0.7239010989010989,0.6384974560812,0.5933333333333334,0.75,0.5102040816326531
matched_followup_swap,T0,5,fold,1,143,46,97,0.658000896458987,0.5434060123604603,0.6853146853146853,0.32608695652173914,0.8556701030927835
matched_followup_swap,T0,5,fold,2,151,49,102,0.7074829931972788,0.5141175737451412,0.6688741721854304,0.4897959183673469,0.7549019607843137
matched_followup_swap,T0,5,fold,3,144,52,92,0.7153010033444815,0.5999302687097419,0.7152777777777778,0.5384615384615384,0.8152173913043478
matched_followup_swap,T0,5,fold,4,151,52,99,0.7725330225330226,0.6444029401585811,0.7284768211920529,0.6730769230769231,0.7575757575757576
matched_followup_swap,T0,6,fold,0,150,52,98,0.7239010989010989,0.6384974560812,0.5933333333333334,0.75,0.5102040816326531
matched_followup_swap,T0,6,fold,1,143,46,97,0.658000896458987,0.5434060123604603,0.6853146853146853,0.32608695652173914,0.8556701030927835
matched_followup_swap,T0,6,fold,2,145,46,99,0.7097057531840141,0.5121588858970393,0.6689655172413793,0.5,0.7474747474747475
matched_followup_swap,T0,6,fold,3,138,46,92,0.6887996219281665,0.5520386355034983,0.7028985507246377,0.4782608695652174,0.8152173913043478
matched_followup_swap,T0,6,fold,4,145,50,95,0.7753684210526316,0.6451427205904084,0.7310344827586207,0.66,0.7684210526315789
matched_followup_swap,T0,7,fold,0,150,52,98,0.7239010989010989,0.6384974560812,0.5933333333333334,0.75,0.5102040816326531
matched_followup_swap,T0,7,fold,1,143,46,97,0.658000896458987,0.5434060123604603,0.6853146853146853,0.32608695652173914,0.8556701030927835
matched_followup_swap,T0,7,fold,2,138,42,96,0.7018849206349205,0.46964527022424696,0.6739130434782609,0.4523809523809524,0.7708333333333334
matched_followup_swap,T0,7,fold,3,138,46,92,0.6887996219281665,0.5520386355034983,0.7028985507246377,0.4782608695652174,0.8152173913043478
matched_followup_swap,T0,7,fold,4,138,44,94,0.7603965183752418,0.6122541451800312,0.7246376811594203,0.6136363636363636,0.776595744680851
matched_followup_swap,T0,8,fold,0,126,44,82,0.7469512195121951,0.6747507163598563,0.626984126984127,0.7272727272727273,0.573170731707317
matched_followup_swap,T0,8,fold,1,143,46,97,0.658000896458987,0.5434060123604603,0.6853146853146853,0.32608695652173914,0.8556701030927835
matched_followup_swap,T0,8,fold,2,130,40,90,0.6827777777777777,0.4614304235496036,0.6615384615384615,0.45,0.7555555555555555
matched_followup_swap,T0,8,fold,3,138,46,92,0.6887996219281665,0.5520386355034983,0.7028985507246377,0.4782608695652174,0.8152173913043478
matched_followup_swap,T0,8,fold,4,138,44,94,0.7603965183752418,0.6122541451800312,0.7246376811594203,0.6136363636363636,0.776595744680851
matched_followup_swap,T0,9,fold,0,126,44,82,0.7469512195121951,0.6747507163598563,0.626984126984127,0.7272727272727273,0.573170731707317
matched_followup_swap,T0,9,fold,1,134,45,89,0.6611735330836455,0.5572592332310342,0.6791044776119403,0.3111111111111111,0.8651685393258427
matched_followup_swap,T0,9,fold,2,130,40,90,0.6827777777777777,0.4614304235496036,0.6615384615384615,0.45,0.7555555555555555
matched_followup_swap,T0,9,fold,3,129,39,90,0.6686609686609687,0.5138826544044888,0.7131782945736435,0.46153846153846156,0.8222222222222222
matched_followup_swap,T0,9,fold,4,120,37,83,0.796808857049821,0.6515862820232429,0.7666666666666667,0.7297297297297297,0.7831325301204819
matched_followup_swap,T0,10,fold,0,126,44,82,0.7469512195121951,0.6747507163598563,0.626984126984127,0.7272727272727273,0.573170731707317
matched_followup_swap,T0,10,fold,1,134,45,89,0.6611735330836455,0.5572592332310342,0.6791044776119403,0.3111111111111111,0.8651685393258427
matched_followup_swap,T0,10,fold,2,130,40,90,0.6827777777777777,0.4614304235496036,0.6615384615384615,0.45,0.7555555555555555
matched_followup_swap,T0,10,fold,3,129,39,90,0.6686609686609687,0.5138826544044888,0.7131782945736435,0.46153846153846156,0.8222222222222222
matched_followup_swap,T0,10,fold,4,120,37,83,0.796808857049821,0.6515862820232429,0.7666666666666667,0.7297297297297297,0.7831325301204819
matched_followup_swap,T0-T1,1,fold,0,162,55,107,0.7276125743415464,0.6251150395513269,0.691358024691358,0.5818181818181818,0.7476635514018691
matched_followup_swap,T0-T1,1,fold,1,161,55,106,0.6864493996569468,0.5894050487520139,0.6086956521739131,0.6181818181818182,0.6037735849056604
matched_followup_swap,T0-T1,1,fold,2,162,55,107,0.6684791843670348,0.46641877764236817,0.6234567901234568,0.5636363636363636,0.6542056074766355
matched_followup_swap,T0-T1,1,fold,3,161,55,106,0.70926243567753,0.6087634368593108,0.6770186335403726,0.6181818181818182,0.7075471698113207
matched_followup_swap,T0-T1,1,fold,4,161,55,106,0.7536878216123499,0.6401464437608422,0.6645962732919255,0.6727272727272727,0.660377358490566
